min;max;range;average;energy;rms;std;volume;surfacde;surfaceovervolume;sphercal disporportion;compactness;label
-960;209;1169;-395.0553064;154565742;480.6661764;273.8088347;1914.024353;1205.448767;0.62979803;1.616961426;0.025801763;1
-1013;976;1989;-33.87958843;860823938;141.2396729;137.1160775;123458.8623;17215.86142;0.139446137;1.435808279;0.030835727;1
-1017;274;1291;-12.20545953;1015812244;131.0742774;130.5047622;169312.445;27830.82663;0.164375552;1.880396326;0.020574287;1
-870;193;1063;-67.72498615;351527618;197.3586294;185.3746338;25843.87268;6238.658603;0.241397978;1.475826715;0.029590059;1
-922;522;1444;-206.2384708;562824007;310.6277985;232.2828499;16703.30297;4207.866826;0.251918248;1.331607675;0.03452506;0
-1023;230;1253;-256.9493103;436014303;387.7496095;290.3907911;8296.966553;3093.038391;0.372791474;1.560588108;0.027212374;0
-1020;349;1369;-60.00799302;868266771;205.0879689;196.1125079;59113.02644;10420.2617;0.176276911;1.419947776;0.03135381;0
-828;267;1095;-84.41448529;534791589;198.3000528;179.4355194;38944.7832;9695.249221;0.248948599;1.744919218;0.02301632;1
-1021;1747;2768;-9.820439845;1049091296;173.6643352;173.3864478;99520.68329;18678.96154;0.187689241;1.798565965;0.021994258;0
-993;223;1216;-104.5357123;1054675530;240.9980178;217.1458714;51953.31573;9722.295691;0.18713523;1.443917969;0.030576312;1
-956;544;1500;3.88749065;499012696;104.777913;104.7057709;130044.9371;20137.83872;0.154852924;1.622307221;0.025674336;1
-909;169;1078;-15.87228521;476318689;147.266166;146.4083133;62836.64703;11091.50296;0.176513285;1.451100882;0.030349565;0
-1024;1101;2125;25.31969621;1776738480;162.3441732;160.3575491;192873.0011;30997.00815;0.160712012;1.920089006;0.019939618;0
-1021;970;1991;-49.44003062;1785844523;197.6480168;191.3646308;130791.6641;23882.14929;0.182596876;1.916619522;0.019993785;1
-997;775;1772;-8.68748568;335004007;123.8989924;123.5940448;62436.10382;13249.84281;0.21221444;1.740882284;0.023096425;0
-1000;215;1215;-23.73435886;133791382;123.9310311;121.637086;24922.37091;6334.59176;0.254172919;1.535235262;0.027889227;0
-882;67;949;-331.6157443;232649163;425.8311418;267.1388393;3670.692444;1529.176636;0.416590782;1.328846645;0.034632718;1
-853;122;975;-159.9485134;212081628;277.3028885;226.5245351;7890.701294;2667.900002;0.33810683;1.391901023;0.032306235;1
-825;596;1421;-18.05603209;268861974;128.8072101;127.5353954;46362.87689;9061.795689;0.195453697;1.451944081;0.030323131;1
-797;119;916;-77.69545455;38618875;187.3714711;170.5036203;3147.125244;1607.706968;0.510849376;1.548032539;0.02754411;1
-1012;980;1992;10.41035622;192186202;93.26823448;92.68542521;63208.58002;21199.16919;0.33538436;2.762595884;0.011553747;1
-807;90;897;-356.5873786;76882444;431.981335;243.830505;1178.741455;759.6716249;0.644476888;1.407762554;0.031761775;1
-826;100;926;-119.3025794;48910627;220.2781138;185.1738156;2883.911133;1319.967901;0.457700616;1.347177012;0.033928283;1
-947;101;1048;-190.5271588;242928676;290.8353376;219.7375602;8216.85791;2998.79377;0.364956265;1.522855247;0.028230004;1
